House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
8,Cambridge Street,Patricia,Dobson,44,Head,Married,Female,Information systems manager,None,Christian
8,Cambridge Street,Shane,Evans,45,Husband,Married,Male,"Accountant, chartered public finance",None,Christian
8,Cambridge Street,Zoe,Dobson,8,Daughter,NA,Female,Student,None,NA
8,Cambridge Street,Susan,Dobson,4,Daughter,NA,Female,Child,None,NA
8,Cambridge Street,Joyce,Dobson,4,Daughter,NA,Female,Child,None,NA
9,Cambridge Street,Dawn,Williams,44,Head,Married,Female,Financial trader,None,None
9,Cambridge Street,Robert,Williams,46,Husband,Married,Male,"Psychologist, counselling",None,None
9,Cambridge Street,Georgina,Williams,11,Daughter,NA,Female,Student,None,NA
9,Cambridge Street,Phillip,Williams,8,Son,NA,Male,Student,None,NA
10,Cambridge Street,Clare,Baker,48,Head,Married,Female,Insurance broker,None,Christian
10,Cambridge Street,Lee,Baker,48,Husband,Married,Male,"Engineer, chemical",None,None
10,Cambridge Street,Tony,Baker,15,Son,NA,Male,Student,None,NA
10,Cambridge Street,Paula,Baker,15,Daughter,NA,Female,Student,None,NA
11,Cambridge Street,Deborah,Lee,35,Head,Single,Female,Clinical cytogeneticist,None,None
11,Cambridge Street,Alexandra,Lee,2,Daughter,NA,Female,Child,None,NA
11,Cambridge Street,Andrea,Lee,0,Daughter,NA,Female,Child,None,NA
11,Cambridge Street,Brett,Dawson,33,Lodger,Single,Male,Research scientist (maths),None,Methodist
12,Cambridge Street,Zoe,Thompson,44,Head,Married,Female,"Engineer, energy",None,None
12,Cambridge Street,Patrick,Thompson,43,Husband,Married,Male,Art gallery manager,None,None
12,Cambridge Street,Danny,Thompson,5,Son,NA,Male,Student,None,NA
12,Cambridge Street,Frances,Thompson,4,Daughter,NA,Female,Child,None,NA
13,Cambridge Street,Donna,Carter,64,Head,Married,Female,Energy engineer,None,None
13,Cambridge Street,Jake,Carter,70,Husband,Married,Male,Retired IT technical support officer,None,None
13,Cambridge Street,Ryan,Carter,37,Son,Divorced,Male,Unemployed,None,None
13,Cambridge Street,Chloe,Carter,34,Daughter,Single,Female,"Designer, furniture",None,None
13,Cambridge Street,Rita,Carter,33,Daughter,Divorced,Female,Television floor manager,None,None
14,Cambridge Street,Declan,Armstrong,48,Head,Single,Male,Barista,None,None
14,Cambridge Street,Joan,Clark,52,Partner,Single,Female,Brewing technologist,None,None
14,Cambridge Street,Georgina,Armstrong,19,Daughter,Single,Female,Primary school teacher,None,None
14,Cambridge Street,Lynn,Armstrong,15,Daughter,NA,Female,Student,None,NA
15,Cambridge Street,Russell,Ingram,21,Head,Single,Male,University Student,None,Methodist
15,Cambridge Street,Helen,Cook,19,None,Single,Female,University Student,None,Christian
15,Cambridge Street,Nathan,Carr,18,None,Single,Male,University Student,None,None
15,Cambridge Street,Ellie,Jones,21,None,Single,Female,University Student,None,Catholic
16,Cambridge Street,Charlotte,Newton,48,Head,Single,Female,"Optician, dispensing",None,Catholic
16,Cambridge Street,Nathan,Newton,18,Son,Single,Male,Student,None,None
16,Cambridge Street,Joe,Newton,14,Son,NA,Male,Student,None,NA
16,Cambridge Street,Tina,Newton,12,Daughter,NA,Female,Student,None,NA
17,Cambridge Street,Leslie,Naylor,41,Head,Single,Male,Marketing executive,None,Catholic
18,Cambridge Street,Abigail,Smith,35,Head,Married,Female,Landscape architect,None,None
18,Cambridge Street,James,Smith,37,Husband,Married,Male,Tax inspector,None,None
18,Cambridge Street,Douglas,Smith,4,Son,NA,Male,Child,None,NA
19,Cambridge Street,Annette,Williams,23,Head,Single,Female,Unemployed,None,Christian
19,Cambridge Street,Mitchell,Davies,23,Partner,Single,Male,"Runner, broadcasting/film/video",None,Christian
19,Cambridge Street,Thomas,Williams,2,Son,NA,Male,Child,None,NA
19,Cambridge Street,Marie,Williams,1,Daughter,NA,Female,Child,None,NA
20,Cambridge Street,Pauline,Rees,51,Head,Married,Female,Public house manager,None,Christian
20,Cambridge Street,Josh,Rees,54,Husband,Married,Male,Unemployed,None,None
20,Cambridge Street,Mandy,Rees,27,Daughter,Single,Female,Charity fundraiser,None,Christian
20,Cambridge Street,Jake,Rees,27,Son,Single,Male,"Horticulturist, amenity",None,None
20,Cambridge Street,Henry,Rees,7,Son,NA,Male,Student,None,NA
21,Cambridge Street,Julie,Holmes,54,Head,Married,Female,Colour technologist,None,None
21,Cambridge Street,Wayne,Holmes,56,Husband,Married,Male,Civil Service administrator,None,None
21,Cambridge Street,Jay,Holmes,24,Son,Single,Male,"Doctor, hospital",None,None
21,Cambridge Street,Kyle,Holmes,22,Son,Single,Male,University Student,None,None
21,Cambridge Street,June,Holmes,19,Daughter,Single,Female,Glass blower/designer,None,None
21,Cambridge Street,Chelsea,Holmes,19,Daughter,Single,Female,University Student,None,None
22,Cambridge Street,Katie,Burton,45,Head,Single,Female,Claims inspector/assessor,None,Muslim
22,Cambridge Street,Nicholas,Thomas,44,Partner,Single,Male,Structural engineer,None,Muslim
22,Cambridge Street,Patricia,Burton,16,Daughter,NA,Female,Student,None,NA
22,Cambridge Street,Alex,Burton,13,Son,NA,Male,Student,None,NA
23,Cambridge Street,Hayley,Sims,55,Head,Single,Female,Medical laboratory scientific officer,None,None
23,Cambridge Street,Neil,Allen,52,Partner,Single,Male,Licensed conveyancer,None,None
23,Cambridge Street,Alison,Sims,24,Daughter,Single,Female,Rural practice surveyor,None,None
23,Cambridge Street,Judith,Sims,21,Daughter,Single,Female,University Student,None,None
23,Cambridge Street,Julian,Sims,17,Son,NA,Male,Student,None,NA
23,Cambridge Street,Lynda,Sims,17,Daughter,NA,Female,Student,None,NA
24,Cambridge Street,Abbie,Talbot,27,Head,Married,Female,"Programme researcher, broadcasting/film/video",None,None
24,Cambridge Street,Stuart,Talbot,28,Husband,Married,Male,Horticultural consultant,None,None
24,Cambridge Street,Gillian,Clark-Talbot,3,Daughter,NA,Female,Child,None,NA
24,Cambridge Street,Malcolm,Clark-Talbot,0,Son,NA,Male,Child,None,NA
25,Cambridge Street,Diana,Faulkner,51,Head,Single,Female,Transport planner,None,Christian
25,Cambridge Street,Catherine,Patel,40,None,Divorced,Female,"Journalist, broadcasting",None,Christian
25,Cambridge Street,Joanna,Martin,52,None,Single,Female,Quality manager,None,Catholic
25,Cambridge Street,Michael,Stewart,31,None,Single,Male,Commercial art gallery manager,None,None
26,Cambridge Street,Gail,Davies,50,Head,Married,Female,"Designer, graphic",None,Catholic
26,Cambridge Street,Louis,Davies,47,Husband,Married,Male,Immunologist,None,Catholic
26,Cambridge Street,Caroline,Davies,59,Cousin,Divorced,Female,Industrial buyer,None,Catholic
26,Cambridge Street,Marion,Davies,68,Cousin,Divorced,Female,Retired Community education officer,None,None
26,Cambridge Street,Dennis,Bowen,52,Cousin,Divorced,Male,Health and safety adviser,None,Catholic
27,Cambridge Street,Ellie,Little,41,Head,Single,Female,Sports therapist,None,Catholic
27,Cambridge Street,Jacob,Chapman,44,Partner,Single,Male,Manufacturing systems engineer,None,None
27,Cambridge Street,Vanessa,Little,16,Daughter,NA,Female,Student,None,NA
27,Cambridge Street,Claire,Little,15,Daughter,NA,Female,Student,None,NA
28,Cambridge Street,Donna,Evans,59,Head,Widowed,Female,"Designer, blown glass/stained glass",None,Christian
28,Cambridge Street,Sophie,Evans,27,Daughter,Single,Female,Futures trader,None,Christian
28,Cambridge Street,Kathleen,Evans,27,Daughter,Single,Female,"Conservation officer, historic buildings",None,Christian
28,Cambridge Street,Brian,Evans,23,Son,Single,Male,Homeopath,None,None
29,Cambridge Street,Katy,Rees,45,Head,Married,Female,"Conservator, museum/gallery",None,None
29,Cambridge Street,Edward,Rees,52,Husband,Married,Male,"Engineer, control and instrumentation",None,None
29,Cambridge Street,Molly,Rees,15,Daughter,NA,Female,Student,None,NA
29,Cambridge Street,Margaret,Rees,14,Daughter,NA,Female,Student,None,NA
29,Cambridge Street,Charlene,Rees,7,Daughter,NA,Female,Student,None,NA
29,Cambridge Street,Frank,Rees,3,Son,NA,Male,Child,None,NA
29,Cambridge Street,Leslie,Parsons,37,Cousin,Widowed,Male,"Production assistant, radio",None,Catholic
30,Cambridge Street,Pamela,Stevens,38,Head,Divorced,Female,Unemployed,None,Methodist
30,Cambridge Street,Gordon,Sullivan,11,Son,NA,Male,Student,None,NA
30,Cambridge Street,Debra,Sullivan,7,Daughter,NA,Female,Student,None,NA
31,Cambridge Street,Barbara,Carter,60,Head,Married,Female,Theatre manager,None,Christian
31,Cambridge Street,Frank,Carter,60,Husband,Married,Male,Legal secretary,None,Christian
31,Cambridge Street,Max,Carter,27,Son,Single,Male,Actuary,None,Christian
31,Cambridge Street,Antony,Carter,26,Son,Divorced,Male,"Accountant, chartered management",None,None
31,Cambridge Street,Paula,Carter,23,Daughter,Single,Female,Animator,None,Christian
32,Cambridge Street,Annette,Barker,46,Head,Single,Female,Structural engineer,None,Methodist
32,Cambridge Street,Cameron,Bennett,50,Partner,Single,Male,Information officer,None,None
32,Cambridge Street,Stanley,Barker,11,Son,NA,Male,Student,None,NA
32,Cambridge Street,Annette,Barker,11,Daughter,NA,Female,Student,None,NA
33,Cambridge Street,Sheila,Howells,58,Head,Single,Female,Retail merchandiser,None,Christian
33,Cambridge Street,Ian,Abbott,62,Partner,Single,Male,Building services engineer,None,Christian
33,Cambridge Street,Bethany,Howells,14,Daughter,NA,Female,Student,None,NA
34,Cambridge Street,Paige,Page,45,Head,Divorced,Female,Unemployed,None,Christian
34,Cambridge Street,Anthony,Wood,21,Son,Single,Male,University Student,None,None
34,Cambridge Street,Antony,Wood,21,Son,Single,Male,"Development worker, community",None,Christian
34,Cambridge Street,Jason,Wood,15,Son,NA,Male,Student,None,NA
35,Cambridge Street,Sylvia,Reid,51,Head,Divorced,Female,Unemployed,None,Methodist
35,Cambridge Street,Katy,Reid,15,Daughter,NA,Female,Student,None,NA
35,Cambridge Street,Roy,Reid,14,Son,NA,Male,Student,None,NA
35,Cambridge Street,Bruce,Reid,14,Son,NA,Male,Student,None,NA
36,Cambridge Street,Robin,Griffiths,38,Head,Divorced,Male,Unemployed,None,None
36,Cambridge Street,Rosie,Griffiths,9,Daughter,NA,Female,Student,None,NA
36,Cambridge Street,Andrea,Griffiths,5,Daughter,NA,Female,Student,None,NA
36,Cambridge Street,Danny,Griffiths,5,Son,NA,Male,Student,None,NA
37,Cambridge Street,Hannah,Evans,72,Head,Married,Female,"Retired Designer, textile",None,None
37,Cambridge Street,Leigh,Evans,73,Husband,Married,Male,"Retired Social research officer, government",None,None
37,Cambridge Street,Dylan,Evans,45,Son,Single,Male,Civil Service fast streamer,None,None
37,Cambridge Street,Nathan,Evans,45,Son,Single,Male,Unemployed,None,None
37,Cambridge Street,Samuel,Evans,40,Son,Divorced,Male,"Designer, jewellery",None,None
38,Cambridge Street,Leigh,Carpenter,74,Head,Married,Male,"Retired Teacher, adult education",None,Christian
38,Cambridge Street,Rachael,Carpenter,69,Wife,Married,Female,Retired Games developer,None,None
38,Cambridge Street,Douglas,Carpenter,32,Son,Single,Male,Careers information officer,None,None
38,Cambridge Street,Tom,Carpenter,28,Son,Single,Male,"Scientist, audiological",None,Christian
39,Cambridge Street,Chloe,Cox,77,Head,Widowed,Female,Retired Publishing copy,None,Christian
39,Cambridge Street,Sophie,Cox,41,Daughter,Single,Female,Information officer,None,Christian
39,Cambridge Street,Jordan,Cox,32,Son,Divorced,Male,Agricultural consultant,None,Christian
39,Cambridge Street,Richard,Cox,32,Son,Divorced,Male,Risk manager,None,Christian
40,Cambridge Street,Suzanne,Booth,38,Head,Married,Female,Forensic scientist,None,Catholic
40,Cambridge Street,Bradley,Booth,47,Husband,Married,Male,Museum/gallery curator,None,None
40,Cambridge Street,Paula,Booth,0,Daughter,NA,Female,Child,None,NA
40,Cambridge Street,Clifford,Nixon,19,Lodger,Divorced,Male,Heritage manager,None,Methodist
41,Cambridge Street,Lewis,Whitehead,73,Head,Married,Male,Retired Customer service manager,None,None
41,Cambridge Street,Natalie,Whitehead,65,Wife,Married,Female,"Therapist, music",None,None
41,Cambridge Street,Linda,Glover,22,Granddaughter,Divorced,Female,University Student,None,None
41,Cambridge Street,Donna,Glover,19,Granddaughter,Single,Female,University Student,None,None
41,Cambridge Street,Arthur,Holmes,19,Grandson,Single,Male,University Student,None,None
42,Cambridge Street,Edward,Pearce,46,Head,Single,Male,Unemployed,None,None
42,Cambridge Street,Pauline,Smith,59,None,Single,Female,Race relations officer,None,Christian
42,Cambridge Street,Henry,Davies,28,None,Single,Male,Unemployed,None,None
42,Cambridge Street,Annette,Berry,20,None,Single,Female,University Student,None,Christian
43,Cambridge Street,Danielle,Dennis,44,Head,Widowed,Female,Industrial/product designer,None,Catholic
43,Cambridge Street,Gail,Dennis,11,Daughter,NA,Female,Student,None,NA
43,Cambridge Street,Derek,Dennis,11,Son,NA,Male,Student,None,NA
43,Cambridge Street,Mark,Dennis,8,Son,NA,Male,Student,None,NA
43,Cambridge Street,Jamie,Dennis,6,Son,NA,Male,Student,None,NA
43,Cambridge Street,Louise,Dennis,6,Adopted Daughter,NA,Female,Student,None,NA
44,Cambridge Street,Pamela,Cooper,37,Head,Married,Female,Consulting civil engineer,None,Sikh
44,Cambridge Street,Sean,Cooper,41,Husband,Married,Male,Unemployed,None,None
44,Cambridge Street,Ryan,Cooper,12,Nephew,NA,Male,Student,None,NA
44,Cambridge Street,Jasmine,Cooper,10,Neice,NA,Female,Student,None,NA
45,Cambridge Street,Nathan,Turnbull,64,Head,Single,Male,"Engineer, civil (contracting)",None,Methodist
46,Cambridge Street,Anna,Allen,58,Head,Married,Female,Environmental education officer,None,None
46,Cambridge Street,Clive,Allen-Armstrong,62,Husband,Married,Male,"Doctor, general practice",None,None
46,Cambridge Street,Robin,Allen-Armstrong,28,Son,Single,Male,"Psychologist, clinical",None,None
46,Cambridge Street,Jenna,Allen-Armstrong,26,Daughter,Widowed,Female,Estate agent,None,None
47,Cambridge Street,Chloe,Martin,55,Head,Married,Female,Therapeutic radiographer,None,None
47,Cambridge Street,Maurice,Martin,59,Husband,Married,Male,Unemployed,None,None
47,Cambridge Street,Victor,Martin,43,Son,Single,Male,"Engineer, manufacturing",None,None
47,Cambridge Street,Kayleigh,Martin,40,Daughter,Single,Female,Unemployed,None,None
48,Cambridge Street,Kathryn,Vincent,44,Head,Married,Female,Location manager,None,None
48,Cambridge Street,Adrian,Vincent,50,Husband,Married,Male,Chemical engineer,None,None
48,Cambridge Street,Francis,Vincent,21,Son,Single,Male,University Student,None,None
48,Cambridge Street,Neil,Vincent,17,Son,NA,Male,Student,None,NA
49,Cambridge Street,Lesley,Swift,42,Head,Single,Female,Broadcast presenter,None,Christian
49,Cambridge Street,Stewart,Swift,25,Son,Single,Male,Research scientist (maths),None,Christian
49,Cambridge Street,Julia,Swift,23,Daughter,Divorced,Female,Chartered management accountant,None,Christian
49,Cambridge Street,Ruth,Swift,19,Daughter,Single,Female,University Student,None,None
50,Cambridge Street,Rosie,Harris,54,Head,Single,Female,Orthoptist,None,None
50,Cambridge Street,Connor,Harris,10,Son,NA,Male,Student,None,NA
50,Cambridge Street,Leigh,Harris,10,Son,NA,Male,Student,None,NA
50,Cambridge Street,Marc,Harris,7,Son,NA,Male,Student,None,NA
50,Cambridge Street,Mohamed,Harris,4,Son,NA,Male,Child,None,NA
51,Cambridge Street,Carolyn,Elliott,60,Head,Married,Female,Town planner,None,None
51,Cambridge Street,Thomas,Elliott,63,Husband,Married,Male,"Investment banker, corporate",None,None
51,Cambridge Street,Ashley,Elliott,28,Son,Single,Male,Outdoor activities/education manager,None,None
51,Cambridge Street,Callum,Elliott,16,Son,NA,Male,Student,None,NA
52,Cambridge Street,Sharon,Williams,22,Head,Single,Female,University Student,None,None
52,Cambridge Street,Adam,Green,21,None,Single,Male,University Student,None,Muslim
52,Cambridge Street,Norman,Fox,22,None,Single,Male,University Student,None,Muslim
53,Cambridge Street,Pauline,Kennedy,40,Head,Married,Female,"Programmer, applications",None,None
53,Cambridge Street,Barry,Kennedy,42,Husband,Married,Male,Charity fundraiser,None,None
53,Cambridge Street,Jenna,Kennedy,10,Daughter,NA,Female,Student,None,NA
53,Cambridge Street,Andrea,Kennedy,7,Daughter,NA,Female,Student,None,NA
54,Cambridge Street,Gemma,Morris,59,Head,Single,Female,Unemployed,None,Catholic
54,Cambridge Street,Julie,Morris,18,Daughter,Divorced,Female,Student,None,Catholic
54,Cambridge Street,Martin,Morris,17,Son,NA,Male,Student,None,NA
54,Cambridge Street,Maureen,Morris,15,Daughter,NA,Female,Student,None,NA
55,Cambridge Street,Joan,Cole,45,Head,Single,Female,Unemployed,None,Christian
55,Cambridge Street,Jill,Cole,1,Daughter,NA,Female,Child,None,NA
56,Cambridge Street,Valerie,Carter,43,Head,Married,Female,"Scientist, biomedical",None,Catholic
56,Cambridge Street,Trevor,Carter,45,Husband,Married,Male,Film/video editor,None,Catholic
56,Cambridge Street,Dennis,Carter,11,Son,NA,Male,Student,None,NA
56,Cambridge Street,Kim,Carter,8,Daughter,NA,Female,Student,None,NA
56,Cambridge Street,Tina,Carter,5,Daughter,NA,Female,Student,None,NA
56,Cambridge Street,Kevin,Clark-Carter,2,Son,NA,Male,Child,None,NA
57,Cambridge Street,Lee,Freeman,58,Head,Single,Male,Bookseller,None,Christian
57,Cambridge Street,Gail,Watkins,42,None,Divorced,Female,Statistician,None,None
58,Cambridge Street,Dylan,Frost,36,Head,Married,Male,"Teacher, music",None,None
58,Cambridge Street,Beth,Frost,34,Wife,Married,Female,"Engineer, site",None,None
58,Cambridge Street,Eileen,Frost,5,Daughter,NA,Female,Student,None,NA
58,Cambridge Street,Marilyn,Frost,2,Daughter,NA,Female,Child,None,NA
58,Cambridge Street,Danielle,Kelly,63,Sibling,Divorced,Female,Insurance account manager,None,Christian
58,Cambridge Street,Shirley,Day,41,Lodger,Single,Female,"Social research officer, government",None,None
58,Cambridge Street,Graeme,Murphy,48,Lodger,Single,Male,Database administrator,None,Christian
59,Cambridge Street,Mandy,Parkin,36,Head,Divorced,Female,Unemployed,None,Catholic
59,Cambridge Street,Kevin,Parkin,14,Son,NA,Male,Student,None,NA
59,Cambridge Street,Elaine,Parkin,14,Daughter,NA,Female,Student,None,NA
59,Cambridge Street,Susan,Parkin,9,Daughter,NA,Female,Student,None,NA
60,Cambridge Street,Stephanie,Gibbons,33,Head,Single,Female,Gaffer,None,None
60,Cambridge Street,Frank,Gibbons,8,Son,NA,Male,Student,None,NA
60,Cambridge Street,Benjamin,Williams-Gibbons,4,Son,NA,Male,Child,None,NA
61,Cambridge Street,Chelsea,Freeman,44,Head,Married,Female,Primary school teacher,None,None
61,Cambridge Street,Julian,Freeman,45,Husband,Married,Male,Probation officer,None,None
61,Cambridge Street,Timothy,Bennett,22,Son,Single,Male,University Student,None,None
61,Cambridge Street,Sally,Bennett,11,Daughter,NA,Female,Student,None,NA
62,Cambridge Street,Kathleen,Ellis,27,Head,Married,Female,Tax inspector,None,Jewish
62,Cambridge Street,Max,Ellis,29,Husband,Married,Male,Environmental education officer,None,None
62,Cambridge Street,Julia,Ellis,1,Daughter,NA,Female,Child,None,NA
63,Cambridge Street,Gavin,Talbot,18,Head,Single,Male,Student,None,NA
64,Cambridge Street,Graeme,Davies,38,Head,Married,Male,Intelligence analyst,None,None
64,Cambridge Street,Rebecca,Davies,44,Wife,Married,Female,"Production designer, theatre/television/film",None,None
64,Cambridge Street,Eileen,Davies,8,Daughter,NA,Female,Student,None,NA
65,Cambridge Street,Ruth,Phillips,55,Head,Married,Female,Visual merchandiser,None,None
65,Cambridge Street,Jake,Phillips,62,Husband,Married,Male,"Geologist, wellsite",None,None
65,Cambridge Street,Holly,Phillips,31,Daughter,Divorced,Female,Clinical psychologist,None,None
66,Cambridge Street,Harriet,Morgan,47,Head,Single,Female,"Accountant, chartered certified",None,Christian
66,Cambridge Street,Fiona,Morgan,18,Daughter,Divorced,Female,Student,None,None
66,Cambridge Street,Ross,Morgan,15,Son,NA,Male,Student,None,NA
67,Cambridge Street,Deborah,James,52,Head,Married,Female,IT trainer,None,Christian
67,Cambridge Street,Mathew,James,54,Husband,Married,Male,Nutritional therapist,None,Christian
67,Cambridge Street,Kelly,James,24,Daughter,Divorced,Female,"Designer, multimedia",None,None
67,Cambridge Street,Ashley,James,12,Son,NA,Male,Student,None,NA
68,Cambridge Street,Josephine,Nicholls,42,Head,Divorced,Female,"Editor, magazine features",None,Muslim
69,Cambridge Street,Rosemary,Clark,47,Head,Single,Female,Meteorologist,None,None
69,Cambridge Street,Melissa,Tucker,29,None,Single,Female,Unemployed,None,None
69,Cambridge Street,Margaret,Weston,42,None,Single,Female,Software engineer,None,Christian
69,Cambridge Street,Antony,Davies,23,None,Single,Male,Geophysical data processor,None,Methodist
69,Cambridge Street,Mohammad,Williams,60,None,Single,Male,Physiotherapist,None,Christian
70,Cambridge Street,Zoe,Smith,50,Head,Single,Female,Unemployed,None,None
70,Cambridge Street,Karen,Smith,12,Daughter,NA,Female,Student,None,NA
70,Cambridge Street,Bradley,Smith,6,Son,NA,Male,Student,None,NA
70,Cambridge Street,Amber,Smith,3,Daughter,NA,Female,Child,None,NA
70,Cambridge Street,Marion,Humphries-Smith,0,Daughter,NA,Female,Child,None,NA
71,Cambridge Street,Sharon,Thompson,35,Head,Married,Female,"Engineer, water",None,None
71,Cambridge Street,Kyle,Thompson,40,Husband,Married,Male,Higher education lecturer,None,None
71,Cambridge Street,Ryan,Thompson,8,Son,NA,Male,Student,None,NA
71,Cambridge Street,Christopher,Thompson,5,Son,NA,Male,Student,None,NA
72,Cambridge Street,Abigail,Robinson,50,Head,Single,Female,Health and safety inspector,None,Catholic
72,Cambridge Street,Liam,Ahmed-Robinson,19,Son,Single,Male,University Student,None,None
72,Cambridge Street,Pauline,Ahmed-Robinson,15,Daughter,NA,Female,Student,None,NA
72,Cambridge Street,Vanessa,Roberts,15,Daughter,NA,Female,Student,None,NA
73,Cambridge Street,Molly,Foster,41,Head,Divorced,Female,Television production assistant,None,None
73,Cambridge Street,Stanley,Foster,21,Son,Single,Male,University Student,None,None
73,Cambridge Street,Michelle,Foster,21,Daughter,Divorced,Female,University Student,None,None
73,Cambridge Street,Beverley,Foster,19,Daughter,Single,Female,University Student,None,None
74,Cambridge Street,Pauline,Tucker,61,Head,Single,Female,Commercial horticulturist,None,None
74,Cambridge Street,Judith,Williams,37,None,Single,Female,Mechanical engineer,None,Methodist
74,Cambridge Street,Denis,Lewis,50,None,Single,Male,Media buyer,None,Catholic
74,Cambridge Street,Ann,Simpson,19,None,Single,Female,University Student,None,Methodist
75,Cambridge Street,Kieran,Glover,23,Head,Single,Male,Amenity horticulturist,None,Methodist
76,Cambridge Street,Tracey,Andrews,46,Head,Married,Female,Unemployed,None,Catholic
76,Cambridge Street,Joseph,Andrews,43,Husband,Married,Male,Counsellor,None,Catholic
76,Cambridge Street,Cheryl,Andrews,22,Daughter,Single,Female,Photographer,None,Catholic
76,Cambridge Street,Colin,Andrews,6,Adopted Son,NA,Male,Student,None,NA
77,Cambridge Street,Catherine,Harvey,46,Head,Single,Female,Unemployed,None,Christian
77,Cambridge Street,Shane,Davies,45,Partner,Single,Male,Landscape architect,None,Christian
77,Cambridge Street,Jake,Harvey,24,Son,Divorced,Male,Broadcast engineer,None,None
77,Cambridge Street,Carol,Harvey,23,Daughter,Divorced,Female,"Engineer, water",None,Christian
77,Cambridge Street,Carl,Gray-Harvey,22,Son,Single,Male,University Student,None,Christian
77,Cambridge Street,Joyce,Patel-Gray-Harvey,5,Daughter,NA,Female,Student,None,NA
78,Cambridge Street,Hilary,Jackson,42,Head,Widowed,Female,Ecologist,None,None
78,Cambridge Street,Charlene,Jackson,6,Daughter,NA,Female,Student,None,NA
78,Cambridge Street,Stuart,Jackson,4,Son,NA,Male,Child,None,NA
78,Cambridge Street,Alice,Jackson,0,Daughter,NA,Female,Child,None,NA
79,Cambridge Street,Georgia,Collins,65,Head,Married,Female,Animal nutritionist,None,None
79,Cambridge Street,Elliott,Collins,65,Husband,Married,Male,Print production planner,None,None
79,Cambridge Street,Robert,Collins,38,Son,Single,Male,Textile designer,None,None
79,Cambridge Street,Mathew,Collins,37,Son,Single,Male,Lexicographer,None,None
80,Cambridge Street,Clare,Jones,54,Head,Single,Female,Barista,None,Muslim
80,Cambridge Street,Carl,Price,18,None,Widowed,Male,Student,None,NA
80,Cambridge Street,Jeffrey,Pritchard,19,None,Single,Male,University Student,None,Christian
80,Cambridge Street,Abdul,Bryan,31,None,Single,Male,Unemployed,None,Muslim
81,Cambridge Street,Laura,Taylor-Brooks,26,Head,Single,Female,Proofreader,None,Catholic
81,Cambridge Street,Peter,Taylor-Brooks,6,Son,NA,Male,Student,None,NA
81,Cambridge Street,Debra,Taylor-Brooks,5,Daughter,NA,Female,Student,None,NA
81,Cambridge Street,Ricky,Taylor-Brooks,1,Son,NA,Male,Child,None,NA
82,Cambridge Street,Emma,Ward,70,Head,Married,Female,Retired Medical sales representative,None,Christian
82,Cambridge Street,Damien,Ward,69,Husband,Married,Male,"Retired Surveyor, building control",None,Christian
83,Cambridge Street,Clive,White,80,Head,Married,Male,Retired Phytotherapist,None,Catholic
83,Cambridge Street,Louise,White,85,Wife,Married,Female,Retired Film/video editor,None,None
84,Cambridge Street,Keith,Smith,55,Head,Single,Male,Learning disability nurse,None,Christian
85,Cambridge Street,Hayley,Evans,51,Head,Married,Female,Investment analyst,None,Christian
85,Cambridge Street,Roger,Evans,52,Husband,Married,Male,Land/geomatics surveyor,None,Christian
85,Cambridge Street,Lynn,Evans,18,Daughter,Single,Female,Student,None,Christian
85,Cambridge Street,Toby,Evans,15,Son,NA,Male,Student,None,NA
86,Cambridge Street,Nathan,George,31,Head,Single,Male,Chief Financial Officer,None,None
86,Cambridge Street,Patrick,Khan,18,None,Single,Male,Student,None,NA
86,Cambridge Street,Trevor,Jones,28,None,Single,Male,Plant breeder/geneticist,None,None
87,Cambridge Street,Jennifer,Rose,46,Head,Single,Female,"Geologist, engineering",None,Methodist
87,Cambridge Street,Sam,Palmer,47,Partner,Single,Male,"Buyer, retail",None,Methodist
87,Cambridge Street,Caroline,Rose,14,Daughter,NA,Female,Student,None,NA
87,Cambridge Street,Brett,Rose,10,Son,NA,Male,Student,None,NA
87,Cambridge Street,Kathleen,Rose,6,Daughter,NA,Female,Student,None,NA
87,Cambridge Street,Ben,Rose,5,Son,NA,Male,Student,None,NA
88,Cambridge Street,Lynn,Law,29,Head,Single,Female,Film/video editor,None,Sikh
89,Cambridge Street,Josephine,Wilkins,66,Head,Married,Female,"Surveyor, commercial/residential",None,Christian
89,Cambridge Street,Leslie,Wilkins,68,Husband,Married,Male,Retired Mental health nurse,None,Christian
90,Cambridge Street,Kenneth,Stevenson,28,Head,Single,Male,Early years teacher,None,Catholic
90,Cambridge Street,Josh,Stevenson,11,Son,NA,Male,Student,None,NA
90,Cambridge Street,Gemma,Stevenson,7,Daughter,NA,Female,Student,None,NA
91,Cambridge Street,Emma,Johnson,56,Head,Married,Female,Exercise physiologist,None,Methodist
91,Cambridge Street,Paul,Johnson,64,Husband,Married,Male,Music therapist,None,None
91,Cambridge Street,Elliott,Johnson,22,Son,Single,Male,University Student,None,Methodist
91,Cambridge Street,Mark,Johnson,9,Son,NA,Male,Student,None,NA
92,Cambridge Street,Georgia,Wilkinson,38,Head,Married,Female,Field seismologist,None,Catholic
92,Cambridge Street,Gary,Wilkinson,41,Husband,Married,Male,"Engineer, maintenance (IT)",None,Catholic
92,Cambridge Street,Phillip,Wilkinson,10,Son,NA,Male,Student,None,NA
92,Cambridge Street,Gareth,Wilkinson,2,Son,NA,Male,Child,None,NA
